title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
From Blood and Ash,"Armentrout, Jennifer L.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
From Blood and Ash,"Armentrout, Jennifer L.",,,,,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
Grace and Glory,"Armentrout, Jennifer L.",,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Kingdom of Flesh and Fire,"Armentrout, Jennifer L.",,,,Blood and Ash,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Kingdom of Flesh and Fire,"Armentrout, Jennifer L.",,,,Blood and Ash,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
Obsidian,"Armentrout, Jennifer L.",,,,Lux,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration
Rage and Ruin,"Armentrout, Jennifer L.",,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Storm and Fury,"Armentrout, Jennifer L.",,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Watcher in the Woods: A Rockton Novel,"Armstrong, Kelley",,,,Rockton/Casey Duncan,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
Damsel,"Arnold, Elana K.",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Damsel,"Arnold, Elana K.",,,,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Damsel,"Arnold, Elana K.",,,,,Florida,Flagler Schools,April 2023,Banned from Libraries and Classrooms,Formal Challenge
Damsel,"Arnold, Elana K.",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Damsel,"Arnold, Elana K.",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Damsel,"Arnold, Elana K.",,,,,Florida,School District of Manatee County,July 2022,Banned from Libraries,Legislative Action
Damsel,"Arnold, Elana K.",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Damsel,"Arnold, Elana K.",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Damsel,"Arnold, Elana K.",,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
Damsel,"Arnold, Elana K.",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Damsel,"Arnold, Elana K.",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
