title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
Red Hood,"Arnold, Elana K.",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
Red Hood,"Arnold, Elana K.",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Red Hood,"Arnold, Elana K.",,,,,Utah,Alpine School District,November 2022,Banned from Libraries,Legislative Action
Red Hood,"Arnold, Elana K.",,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
Red Hood,"Arnold, Elana K.",,,,,Virginia,Hanover County Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Red Hood,"Arnold, Elana K.",,,,,Virginia,Spotsylvania County Public Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Florida,Flagler Schools,April 2023,Banned from Libraries and Classrooms,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Michigan,St. Joseph Public Schools,September 2022,Banned Pending Investigation,Informal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
What Girls Are Made Of,"Arnold, Elana K.",,,,,Texas,Belton Independent School District,September 2022,Banned Pending Investigation,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
What Girls Are Made Of,"Arnold, Elana K.",,,,,Texas,Katy Independent School District,September 2022,Banned from Libraries and Classrooms,Administration
What Girls Are Made Of,"Arnold, Elana K.",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Jordan School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Virginia,Spotsylvania County Public Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",,,,,Wyoming,Park County School District #1,February 2023,Banned Pending Investigation,Administration
What Riley Wore,"Arnold, Elana K.",,,,,South Carolina,Horry County Schools,November 2022,Banned from Libraries,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Clay County School District,July 2022,Banned from Libraries,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Duval County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Flagler Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Santa Rosa County District Schools,May 2023,Banned from Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,School District of Manatee County,June 2023,Banned from Libraries,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Michigan,Chippewa Valley Schools,January 2023,Banned from Libraries,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,North Carolina,Pender County Schools,February 2023,Banned from Libraries,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Texas,Keller Independent School District,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Utah,Davis School District,December 2022,Banned from Libraries,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Administration
Alt Ed,"Atkins, Catherine",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Clay County School District,July 2022,Banned from Libraries,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Flagler Schools,June 2023,Banned from Libraries,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Florida,Volusia County Schools,January 2023,Banned from Libraries,Administration
The Black Flamingo,"Atta, Dean",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
The Black Flamingo,"Atta, Dean",,,,,Pennsylvania,Perkiomen Valley School District,March 2023,Banned from Libraries and Classrooms,Informal Challenge
The Black Flamingo,"Atta, Dean",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
The Black Flamingo,"Atta, Dean",,,,,Texas,Keller Independent School District,February 2023,Banned Pending Investigation,Formal Challenge
The Black Flamingo,"Atta, Dean",,,,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Florida,St. John's County School District,January 2023,Banned Pending Investigation,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Georgia,Forsyth County Schools,June 2023,Banned from Libraries,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Missouri,Willard Public Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Administration
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Canyons School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Davis School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Jordan School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Washington County School District,September 2022,Banned from Libraries and Classrooms,Informal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,South Carolina,Anderson School District One,April 2023,Banned Pending Investigation,Informal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Texas,Conroe Independent School District,November 2022,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Texas,Spring Branch Independent School District,January 2023,Banned from Libraries,Unclear
The Handmaid's Tale,"Atwood, Margaret",,,,,Utah,Davis School District,January 2023,Banned from Libraries,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Utah,Granite School District,October 2022,Banned from Libraries,Formal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
The Handmaid's Tale,"Atwood, Margaret",,,,,Virginia,Madison County Public Schools,January 2023,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,,Wyoming,Park County School District #1,February 2023,Banned Pending Investigation,Administration
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Florida,Escambia County Public Schools,October 2022,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Florida,St. John's County School District,January 2023,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Fox C-6 School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Lindbergh Schools,November 2022,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Mehlville School District,August 2022,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Nixa Public Schools,June 2023,Banned from Libraries and Classrooms,Unclear
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,North Kansas City Schools,September 2022,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Webster Groves School District,September 2022,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Texas,Frisco Independent School District,August 2022,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
